time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:04:52,robotiq_force_torque_frame_id,3.5,0.11,-1.23,0.082,-0.111,-0.008
22:04:52,robotiq_force_torque_frame_id,3.67,-1.1,-1.26,0.057,-0.124,-0.006
22:04:52,robotiq_force_torque_frame_id,3.92,-0.23,-0.97,0.06,-0.126,-0.021
22:04:52,robotiq_force_torque_frame_id,2.25,-1.19,-0.75,0.074,-0.117,-0.015
22:04:52,robotiq_force_torque_frame_id,3.2,-0.44,-0.74,0.048,-0.116,-0.002
22:04:52,robotiq_force_torque_frame_id,3.56,-0.58,-0.78,0.073,-0.125,-0.009
22:04:52,robotiq_force_torque_frame_id,2.38,-0.78,-1.01,0.072,-0.127,-0.004
22:04:52,robotiq_force_torque_frame_id,2.53,-1.21,-1.2,0.073,-0.125,-0.004
22:04:52,robotiq_force_torque_frame_id,1.81,-1.69,-1.23,0.078,-0.116,-0.022
22:04:53,robotiq_force_torque_frame_id,3.51,-1.12,-0.55,0.061,-0.113,-0.021
22:04:53,robotiq_force_torque_frame_id,3.67,-0.35,-0.76,0.074,-0.123,-0.007
22:04:53,robotiq_force_torque_frame_id,3.82,0.11,-0.64,0.081,-0.126,-0.018
22:04:53,robotiq_force_torque_frame_id,3.95,0.64,-0.61,0.094,-0.12,-0.033
22:04:53,robotiq_force_torque_frame_id,1.28,0.16,-1.08,0.063,-0.12,-0.053
22:04:53,robotiq_force_torque_frame_id,2.48,0.86,-1.01,0.078,-0.115,-0.042
22:04:53,robotiq_force_torque_frame_id,2.78,0.12,-0.71,0.078,-0.119,-0.031
22:04:53,robotiq_force_torque_frame_id,2.91,-0.23,-0.52,0.075,-0.112,-0.06
22:04:53,robotiq_force_torque_frame_id,4.1,0.95,-0.96,0.092,-0.124,-0.058
22:04:53,robotiq_force_torque_frame_id,5.01,-0.5,-0.29,0.063,-0.115,-0.008
22:04:54,robotiq_force_torque_frame_id,3.52,-1.49,-0.52,0.057,-0.105,-0.021
22:04:54,robotiq_force_torque_frame_id,5.25,-1.62,-1.09,0.08,-0.122,-0.006
22:04:54,robotiq_force_torque_frame_id,4.56,-1.5,-1.12,0.07,-0.117,-0.016
22:04:54,robotiq_force_torque_frame_id,4.45,-1.35,-0.73,0.062,-0.144,-0.039
22:04:54,robotiq_force_torque_frame_id,3.3,-1.18,-0.5,0.082,-0.134,-0.001
22:04:54,robotiq_force_torque_frame_id,4.14,-0.83,-0.81,0.074,-0.129,-0.01
22:04:54,robotiq_force_torque_frame_id,4.27,-0.35,-1.46,0.086,-0.122,-0.009
22:04:54,robotiq_force_torque_frame_id,2.78,0.58,-1.61,0.069,-0.127,-0.022
22:04:54,robotiq_force_torque_frame_id,4.32,0.0,-1.3,0.089,-0.128,-0.014
22:04:54,robotiq_force_torque_frame_id,3.03,0.39,-1.72,0.069,-0.101,-0.038
22:04:55,robotiq_force_torque_frame_id,2.74,0.33,-0.61,0.063,-0.114,-0.009
22:04:55,robotiq_force_torque_frame_id,3.35,0.0,-1.37,0.07,-0.111,-0.032
22:04:55,robotiq_force_torque_frame_id,3.73,-0.09,-1.32,0.068,-0.109,-0.017
22:04:55,robotiq_force_torque_frame_id,3.08,-0.61,-1.44,0.074,-0.116,-0.032
22:04:55,robotiq_force_torque_frame_id,2.68,0.79,-1.19,0.099,-0.118,-0.03
22:04:55,robotiq_force_torque_frame_id,3.76,0.02,-0.76,0.094,-0.14,-0.044
22:04:55,robotiq_force_torque_frame_id,3.46,-0.56,-0.79,0.074,-0.123,-0.047
22:04:55,robotiq_force_torque_frame_id,2.59,-0.75,-1.02,0.071,-0.129,-0.043
22:04:55,robotiq_force_torque_frame_id,2.22,-0.05,-0.96,0.076,-0.121,-0.038
22:04:55,robotiq_force_torque_frame_id,2.81,0.2,-1.11,0.044,-0.1,-0.061
22:04:56,robotiq_force_torque_frame_id,1.87,-0.71,-1.25,0.074,-0.091,-0.065
22:04:56,robotiq_force_torque_frame_id,1.28,-0.06,-1.39,0.07,-0.095,-0.034
22:04:56,robotiq_force_torque_frame_id,2.49,-1.17,-1.46,0.077,-0.1,-0.04
22:04:56,robotiq_force_torque_frame_id,2.8,-0.19,-1.84,0.064,-0.105,-0.072
22:04:56,robotiq_force_torque_frame_id,2.28,-0.31,-1.09,0.073,-0.122,-0.054
22:04:56,robotiq_force_torque_frame_id,4.07,0.37,-1.21,0.086,-0.117,-0.058
22:04:56,robotiq_force_torque_frame_id,3.66,1.53,-1.19,0.056,-0.12,-0.059
22:04:56,robotiq_force_torque_frame_id,3.78,1.24,-1.08,0.066,-0.121,-0.049
22:04:56,robotiq_force_torque_frame_id,3.6,-0.26,-1.44,0.043,-0.123,-0.025
22:04:56,robotiq_force_torque_frame_id,3.16,0.35,-0.69,0.075,-0.142,-0.018
22:04:57,robotiq_force_torque_frame_id,3.1,-0.03,-0.74,0.075,-0.117,-0.035
22:04:57,robotiq_force_torque_frame_id,1.72,-0.74,-1.43,0.074,-0.122,-0.048
22:04:57,robotiq_force_torque_frame_id,1.72,-0.54,-1.05,0.072,-0.115,-0.046
22:04:57,robotiq_force_torque_frame_id,3.28,-0.39,-1.25,0.076,-0.12,-0.036
22:04:57,robotiq_force_torque_frame_id,0.59,-0.27,-0.82,0.058,-0.104,-0.069
22:04:57,robotiq_force_torque_frame_id,2.73,-1.79,-1.27,0.071,-0.116,-0.058
22:04:57,robotiq_force_torque_frame_id,3.56,-0.44,-1.27,0.072,-0.106,-0.048
22:04:57,robotiq_force_torque_frame_id,2.14,-0.39,-1.35,0.07,-0.113,-0.03
22:04:57,robotiq_force_torque_frame_id,3.37,0.12,-1.27,0.078,-0.11,-0.051
22:04:57,robotiq_force_torque_frame_id,2.4,2.15,-1.03,0.079,-0.115,-0.044
22:04:58,robotiq_force_torque_frame_id,2.6,0.05,-0.82,0.095,-0.106,-0.012
22:04:58,robotiq_force_torque_frame_id,1.6,-0.47,-0.99,0.068,-0.113,-0.052
22:04:58,robotiq_force_torque_frame_id,2.23,-0.91,-1.05,0.057,-0.134,-0.044
22:04:58,robotiq_force_torque_frame_id,2.19,-0.85,-0.85,0.062,-0.119,-0.067
22:04:58,robotiq_force_torque_frame_id,3.52,0.41,-1.11,0.062,-0.11,-0.048
22:04:58,robotiq_force_torque_frame_id,3.83,0.43,-1.28,0.06,-0.128,-0.056
22:04:58,robotiq_force_torque_frame_id,4.29,0.82,-1.21,0.093,-0.121,-0.038
22:04:58,robotiq_force_torque_frame_id,2.35,-0.22,-0.55,0.065,-0.12,-0.052
22:04:58,robotiq_force_torque_frame_id,1.94,0.53,-1.03,0.061,-0.109,-0.036
22:04:58,robotiq_force_torque_frame_id,2.03,-1.2,-1.32,0.075,-0.126,-0.047
